base_id,original_url,base_url,status,resolved_url,extension,file_type,content_type,content_length,notes
EFTA01618606,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618606.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618606,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618606.mov,mov,video,video/quicktime,15687288,confirmed
EFTA01618622,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618622.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618622,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618622.mov,mov,video,video/quicktime,12500520,confirmed
EFTA01618739,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618739.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618739,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618739.mov,mov,video,video/quicktime,1610111,confirmed
EFTA01618852,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618852.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618852,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618852.mov,mov,video,video/quicktime,6664740,confirmed
EFTA01619211,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619211.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619211,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619211.mov,mov,video,video/quicktime,350300,confirmed
EFTA01617970,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617970.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617970,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617970.opus,ogg,audio,audio/ogg,72755,magic_says_ogg
EFTA01619258,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619258.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619258,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619258.mov,mov,video,video/quicktime,2563317,confirmed
EFTA01619523,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619523.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619523,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619523.mov,mov,video,video/quicktime,1852307,confirmed
EFTA01619524,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619524.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619524,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619524.mov,mov,video,video/quicktime,4365898,confirmed
EFTA01619495,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619495.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619495,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619495.m4a,m4a,audio,audio/mp4,6345074,confirmed
EFTA01619560,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619560.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619560,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619560.mov,mov,video,video/quicktime,3989723,confirmed
EFTA01619578,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619578.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619578,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619578.mov,mov,video,video/quicktime,3960027,confirmed
EFTA01619588,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619588.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619588,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619588.mov,mov,video,video/quicktime,4697929,confirmed
EFTA01619626,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619626.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619626,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619626.mov,mov,video,video/quicktime,6279403,confirmed
EFTA01619632,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619632.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619632,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619632.mov,mov,video,video/quicktime,3740234,confirmed
EFTA01619634,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619634.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619634,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619634.mov,mov,video,video/quicktime,2999812,confirmed
EFTA01620591,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01620591.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01620591,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01620591.mov,mov,video,video/quicktime,5055085,confirmed
EFTA01621007,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621007.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621007,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621007.mov,mov,video,video/quicktime,12824236,confirmed
EFTA01620904,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01620904.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01620904,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01620904.mp4,mp4,video,video/mp4,6675434,confirmed
EFTA01621009,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621009.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621009,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621009.mp4,mp4,video,video/mp4,337796,confirmed
EFTA01621011,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621011.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621011,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621011.mp4,mp4,video,video/mp4,4277952,confirmed
EFTA01621013,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621013.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621013,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621013.mov,mov,video,video/quicktime,1472340,confirmed
EFTA01621014,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621014.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621014,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621014.mov,mov,video,video/quicktime,1992585,confirmed
EFTA01621015,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621015.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621015,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621015.mov,mov,video,video/quicktime,1752821,confirmed
EFTA01621017,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621017.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621017,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621017.mov,mov,video,video/quicktime,19695153,confirmed
EFTA01621019,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621019.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621019,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621019.mov,mov,video,video/quicktime,5055085,confirmed
EFTA01621020,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621020.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621020,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621020.mov,mov,video,video/quicktime,1906772,confirmed
EFTA01621021,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621021.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621021,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621021.mov,mov,video,video/quicktime,1952265,confirmed
EFTA01621022,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621022.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621022,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621022.mov,mov,video,video/quicktime,488624,confirmed
EFTA01621025,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621025.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621025,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621025.mov,mov,video,video/quicktime,996956,confirmed
EFTA01621026,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621026.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621026,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621026.mov,mov,video,video/quicktime,511303,confirmed
EFTA01621027,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621027.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621027,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621027.mov,mov,video,video/quicktime,1857000,confirmed
EFTA01621030,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621030.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621030,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621030.mov,mov,video,video/quicktime,1662795,confirmed
EFTA01621031,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621031.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621031,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621031.mov,mov,video,video/quicktime,1383379,confirmed
EFTA01621032,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621032.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621032,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621032.mov,mov,video,video/quicktime,685507,confirmed
EFTA01621035,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621035.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621035,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621035.mov,mov,video,video/quicktime,1478789,confirmed
EFTA01621036,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621036.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621036,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621036.mov,mov,video,video/quicktime,1744277,confirmed
EFTA01621037,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621037.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621037,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621037.mov,mov,video,video/quicktime,1238144,confirmed
